"subject" "activity" "activity_label" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 1 "WALKING" -0.21992152 -0.21123385 -0.21992152 -0.21123385 -0.17565121 -0.045652965 -0.18772916 -0.19339177 -0.28215126 -0.28498564 -0.16742384 -0.35949476 -0.044648297 -0.053202562 -0.19027357 -0.33749684 -0.30149148 -0.31355105
1 2 "WALKING_UPSTAIRS" -0.14179601 -0.24352603 -0.14179601 -0.24352603 -0.48700596 -0.42421175 -0.13508638 -0.20849725 -0.59684938 -0.66919698 -0.30826339 -0.32680477 -0.41507628 -0.43954436 -0.36570104 -0.24282164 -0.66954663 -0.69201372
1 3 "WALKING_DOWNSTAIRS" 0.0070920245 -0.037415797 0.0070920245 -0.037415797 -0.10403972 0.086988496 -0.13356154 -0.34962266 -0.28780687 -0.22044868 0.029992653 -0.22721307 0.1552484 -0.015281472 -0.20798475 -0.60715758 -0.18826851 -0.3223018
1 4 "SITTING" -0.98908857 -0.99246581 -0.98908857 -0.99246581 -0.99346153 -0.99208943 -0.98713799 -0.94684439 -0.99519522 -0.98748 -0.99363329 -0.99182712 -0.99184069 -0.99094029 -0.94126546 -0.96101214 -0.98908456 -0.98587585
1 5 "STANDING" -0.99767632 -0.99679782 -0.99767632 -0.99679782 -0.9961445 -0.99594761 -0.99357045 -0.99175226 -0.99737446 -0.99875583 -0.99645498 -0.99673334 -0.99517004 -0.99605427 -0.99305041 -0.99200935 -0.9984768 -0.99901349
1 6 "LAYING" -0.8716271 -0.80367303 -0.8716271 -0.80367303 -0.99032317 -0.99078066 -0.94897412 -0.9665803 -0.99312553 -0.991068 -0.85175682 -0.81023632 -0.98937615 -0.9916852 -0.97517385 -0.96655145 -0.99064043 -0.99196341
2 1 "WALKING" -0.36436542 -0.42844073 -0.36436542 -0.42844073 -0.32205097 -0.062622966 -0.50405947 -0.56612268 -0.54166287 -0.46016945 -0.35018188 -0.56646468 -0.13964576 0.020950755 -0.52025914 -0.68313284 -0.48571849 -0.46488233
2 2 "WALKING_UPSTAIRS" -0.15199134 -0.21775806 -0.15199134 -0.21775806 -0.30250936 -0.16887868 -0.31186725 -0.47999984 -0.53923339 -0.52273916 -0.15958425 -0.37325925 -0.11697266 -0.24629526 -0.46088027 -0.5870545 -0.57074142 -0.49800598
2 3 "WALKING_DOWNSTAIRS" 0.16349347 0.2556843 0.16349347 0.2556843 0.10427448 0.25878987 -0.18361519 -0.25498781 -0.20750712 -0.14006455 0.3576387 -0.0010427611 0.29317559 0.20738603 -0.22857015 -0.40737002 -0.22424278 -0.098111018
2 4 "SITTING" -0.98426101 -0.98541729 -0.98426101 -0.98541729 -0.98848675 -0.98863537 -0.9843081 -0.97980246 -0.99148733 -0.98915297 -0.98378961 -0.98782781 -0.98707413 -0.98986558 -0.98142321 -0.98189938 -0.98935881 -0.98911204
